Year,Rank,Salary
1999,All,95737.4403
2000,All,98314.236
2001,All,96441.5043
2002,All,98782.2528
2003,All,101582.4007
2004,All,113327.87180000001
2005,All,113029.5358
2006,All,113745.9638
2007,All,118542.80219999999
2008,All,113222.1927
2009,All,114616.4448
2010,All,112913.35770000001
2011,All,112873.86
2012,All,112617.27
2013,All,117099.4
2014,All,116644.43999999999
2015,All,118718.964
2016,All,114707.3974
2017,All,113941.1131
2018,All,110116.89589999999
2019,All,105279.2
2020,All,102411.45
1999,Full,118499.1453
2000,Full,120336.19200000001
2001,Full,122184.9647
2002,Full,124735.3272
2003,Full,127045.88380000001
2004,Full,135908.7678
2005,Full,136785.5383
2006,Full,137334.505
2007,Full,139887.0222
2008,Full,134946.5439
2009,Full,135710.34879999998
2010,Full,132801.0541
2011,Full,133124.42
2012,Full,135365.0567
2013,Full,138430.6
2014,Full,140476.19999999998
2015,Full,140171.304
2016,Full,139827.4742
2017,Full,137673.5215
2018,Full,137488.16509999998
2019,Full,137672.8
2020,Full,134729.29
1999,Assoc,84106.4421
2000,Assoc,86407.47
2001,Assoc,87548.5215
2002,Assoc,91073.1624
2003,Assoc,94992.4811
2004,Assoc,105092.9698
2005,Assoc,102905.5691
2006,Assoc,102225.1426
2007,Assoc,106370.3558
2008,Assoc,102143.6391
2009,Assoc,98883.7824
2010,Assoc,97786.3172
2011,Assoc,99181.72
2012,Assoc,100768.2197
2013,Assoc,102212.0
2014,Assoc,103744.68
2015,Assoc,106356.432
2016,Assoc,108464.0404
2017,Assoc,104273.2927
2018,Assoc,101035.3982
2019,Assoc,102242.3
2020,Assoc,98242.92
1999,Assist,68567.88840000001
2000,Assist,68847.921
2001,Assist,71244.7197
2002,Assist,71824.89600000001
2003,Assist,77614.4523
2004,Assist,84679.7302
2005,Assist,80994.3842
2006,Assist,76297.5178
2007,Assist,83860.317
2008,Assist,75018.25259999999
2009,Assist,71979.856
2010,Assist,72093.4929
2011,Assist,77205.26000000001
2012,Assist,78223.347
2013,Assist,81658.5
2014,Assist,80131.56
2015,Assist,82091.1
2016,Assist,78909.994
2017,Assist,79024.6119
2018,Assist,75825.5069
2019,Assist,84020.9
2020,Assist,79876.9
