,Date,Field,Crop,Amount_lbs,Wholesale_price_lb,Market_price_lb,Market_Total
0,2025-02-14,HT2,Swiss Chard,5.6,3.2,4.0,22.4
1,2025-02-20,HT2,Lettuce,4.6,2.87,5.0,23.0
2,2025-02-21,HT2,Swiss Chard,5.2,,,20.8
3,2025-02-22,HT2,Lettuce,4.0,,,20.0
4,2025-02-26,HT2,Swiss Chard,5.02,,,20.08
5,2025-02-26,,Microgreens,1.1,30.0,16.0,17.6
6,2025-02-27,HT2,Lettuce,3.5,,,17.5
9,2025-03-12,HT 2,Swiss Chard,12.5,,4.0,50.0
10,2025-03-13,HT 2,Lettuce,2.6,,5.0,13.0
11,2025-03-14,HT 2,Lettuce,4.3,,,21.5
12,2025-03-20,HT 2,Lettuce,4.5,,,22.5
13,2025-03-20,HT 2,Swiss Chard,10.2,,,40.8
14,2025-03-21,HT 2,Lettuce,3.0,,,15.0
15,2025-03-22,HT 2,Swiss Chard,13.3,,,53.2
16,2025-03-26,HT 2,Swiss Chard,19.0,,,76.0
17,2025-03-26,HT 2,Lettuce,8.7,,,43.5
19,2025-04-01,HT 2,Swiss Chard,23.0,,4.0,92.0
20,2025-04-02,HT 2,Lettuce,7.9,,5.0,39.5
21,2025-04-02,HT 2,Swiss Chard,3.5,,,14.0
22,2025-04-09,HT 2,Lettuce,6.5,,,32.5
23,2025-04-09,HT 2,Swiss Chard,13.0,,,52.0
24,2025-04-15,HT 2,Lettuce,15.3,,,76.5
25,2025-04-16,HT 2,Swiss Chard,28.9,,,115.6
26,2025-04-17,HT 2,Swiss Chard,23.2,,,92.8
27,2025-04-17,HT 2,Lettuce,41.6,,,208.0
28,2025-04-26,HT 1,Lettuce,14.2,,,71.0
29,2025-04-29,HT 2,Swiss Chard,35.4,,,141.6
30,2025-04-30,HT 1,Lettuce,5.0,,,25.0
32,2025-05-03,HT 1,Lettuce,6.1,,5.0,
34,2025-07-01,F5,Summer Squash,5.6,0.75,3.0,16.8
35,2025-07-03,F5,Summer Squash,5.6,,,16.8
36,2025-07-06,F5,Summer Squash,10.3,,,30.9
37,2025-07-08,F5,Summer Squash,18.2,,,54.6
38,2025-07-10,F5,Summer Squash,26.5,,,79.5
39,2025-07-12,F5,Summer Squash,90.6,,,271.8
40,2025-07-15,F5,Summer Squash,105.5,,,316.5
41,2025-07-17,F5,Summer Squash,77.8,,,233.4
42,2025-07-19,F5,Summer Squash,56.1,,,168.3
43,2025-07-23,F5,Summer Squash,110.2,,,330.6
44,2025-07-25,F5,Summer Squash,74.5,,,223.5
45,2025-07-29,F5,Summer Squash,172.4,,,517.2
46,2025-07-30,F5,Watermelons,35.0,4.0,4.0,140.0
48,2025-08-01,F5,Watermelons,5.0,,4.0,20.0
49,2025-08-01,F5,Winter Squash,6.8,1.34,2.0,13.6
50,2025-08-01,F5,Winter Squash,15.4,,,30.8
51,2025-08-01,F5,Summer Squash,30.8,,3.0,92.4
52,2025-08-01,F5,Pumpkins,9.0,0.75,3.0,27.0
53,2025-08-03,F5,Pumpkins,48.0,,,144.0
54,2025-08-03,F5,Winter Squash,2.0,,,4.0
55,2025-08-05,F5,Winter Squash,230.5,,,461.0
56,2025-08-07,F5,Winter Squash,111.3,,,222.6
57,2025-08-07,F5,Watermelons,25.0,,,100.0
58,2025-08-12,F5,Winter Squash,110.5,,,221.0
59,2025-08-12,F5,Watermelons,55.0,,,220.0
60,2025-08-13,HT 1,Cherry Tomatoes,9.4,1.67,4.5,42.3
61,2025-08-15,HT 1,Cherry Tomatoes,5.6,,,25.2
62,2025-08-15,F5,Winter Squash,96.0,,,192.0
63,2025-08-26,F5,Winter Squash,207.12,,,414.24
64,2025-08-29,HT 1,Cherry Tomatoes,26.7,,,120.15
65,2025-08-30,F6,Okra,0.5,2.0,5.0,2.5
67,2025-09-02,HT 1,Cherry Tomatoes,71.9,,4.5,323.55
68,2025-09-04,F6,Basil,2.6,11.5,64.0,166.4
69,2025-09-09,HT 1,Slicing Tomatoes,48.1,1.16,3.0,144.3
70,2025-09-10,F6,Basil,3.6,,,230.4
71,2025-09-10,HT 1,Cherry Tomatoes,17.7,,,79.65
72,2025-09-10,HT 1 & 2,Slicing Tomatoes,8.3,,,24.9
73,2025-09-12,HT 1,Cherry Tomatoes,15.0,,,67.5
74,2025-09-17,HT 1,Cherry Tomatoes,17.3,,,77.85
75,2025-09-17,HT 1,Slicing Tomatoes,17.0,,,51.0
76,2025-09-17,HT 2,Slicing Tomatoes,39.2,,,117.6
77,2025-09-17,F6,Basil,5.6,,,358.4
78,2025-09-19,HT 1,Cherry Tomatoes,9.6,,,43.2
79,2025-09-19,HT 1,Slicing Tomatoes,9.2,,,27.6
80,2025-09-19,HT 2,Slicing Tomatoes,6.4,,,19.2
81,2025-09-24,HT 2,Slicing Tomatoes,19.8,,,59.4
82,2025-09-24,HT 1,Slicing Tomatoes,25.7,,,77.1
83,2025-09-24,HT 1,Slicing Tomatoes,12.0,,,36.0
84,2025-09-30,HT 1,Slicing Tomatoes,14.6,,,43.8
86,2025-10-01,F6,Basil,2.7,11.5,64.0,172.8
87,2025-10-01,HT 1,Cherry Tomatoes,7.6,1.67,4.5,34.2
88,2025-10-01,HT 1 & 2,Slicing Tomatoes,109.8,1.16,3.0,329.4
89,2025-10-02,F6,Okra,24.5,2.0,5.0,122.5
90,2025-10-03,HT 1,Cherry Tomatoes,10.0,,,45.0
91,2025-10-04,HT 1 & 2,Slicing Tomatoes,71.2,,,213.6
92,2025-10-04,HT 1,Cherry Tomatoes,4.1,,,18.45
93,2025-10-08,HT 1,Cherry Tomatoes,18.0,,,81.0
94,2025-10-08,F6,Okra,4.3,,,21.5
95,2025-10-08,HT 1,Slicing Tomatoes,10.9,,,32.7
96,2025-10-14,F5,Winter Squash,16.0,1.34,2.0,32.0
97,2025-10-14,F5,Pumpkins,9.2,0.75,3.0,27.6
98,2025-10-15,HT 1,Cherry Tomatoes,34.8,,,156.6
99,2025-10-15,HT 1,Slicing Tomatoes,9.4,,,28.2
100,2025-10-22,HT 1,Cherry Tomatoes,30.0,,,135.0
101,2025-10-22,HT 1,Slicing Tomatoes,19.2,,,57.6
102,2025-10-22,F6,Basil,2.9,,,185.6
103,2025-10-24,HT 2,Slicing Tomatoes,34.0,,,102.0
104,2025-10-25,HT 2,Slicing Tomatoes,52.1,,,156.3
105,2025-10-31,F6,Basil,1.3,,,83.2
106,2025-10-31,HT 1,Cherry Tomatoes,10.3,,,46.35
108,2025-11-07,HT 1,Slicing Tomatoes,67.6,,3.0,202.8
109,2025-11-07,F8,Jalapenos,0.4,1.4,2.0,0.8
